 #, Operadora, Simcard, IMEI, Mensalidade, Credito, Consumo 60 dias, Data Ativacao, IP, ICCID, Saldo, Consumo, Ultima Conexao, Status
1,Claro,'5518992003006,/ 8648930326889778,4.3,0,20,19/4/2019,10.35.146.218,'89550534120023663163,1.796.623,2.02,5/8/2019 21:28,Ativo
2,Claro,'5518991998284,/ 864893031717270,4.3,0,20,22/3/2019,10.33.63.111,'89550534120021302392,1.850.916,1.48,5/8/2019 17:58,Ativo
3,Claro,'5518991982843,/ 864893031717330,4.3,0,20,23/3/2019,10.33.63.106,'89550534120021302335,1.986.331,0.14,5/8/2019 20:45,Ativo
4,Claro,'5518991982379,/ 864893031717230,4.3,0,20,19/3/2019,10.33.60.141,'89550534120021302830,1.875.112,1.24,5/8/2019 15:47,Ativo
5,Claro,'5518991932906,/ 8648930326895478,4.3,0,20,6/5/2019,10.35.185.25,'89550534120023663932,1.935.871,0.64,5/8/2019 20:02,Ativo
6,Claro,'5518991930388,/ 8648930334532278,4.3,0,20,1/5/2019,10.35.134.84,'89550534120023663221,20,0,1/7/2019 18:33,Ativo
7,Claro,'5518991926769,/ 356430070483750,4.3,0,20,12/5/2019,10.35.77.173,'89550534120023663536,1.959.099,0.41,5/8/2019 21:22,Ativo
8,Claro,'5518991926270,/ 8648930334582678,4.3,0,20,8/5/2019,10.35.220.129,'89550534120023663114,1.828.638,1.7,5/8/2019 19:24,Ativo
9,Claro,'5518991924148,/ 864893032690000,4.3,0,20,23/4/2019,10.35.222.46,'89550534120023663817,1.844.011,1.55,5/8/2019 18:46,Ativo
10,Claro,'5518991923658,/ 864893031758990,4.3,0,20,27/3/2019,10.33.63.147,'89550534120021302145,1.816.643,1.83,5/8/2019 14:08,Ativo
11,Claro,'5518991922379,/ 864893033454930,4.3,0,20,24/4/2019,10.35.10.246,'89550534120023663098,1.809.865,1.89,5/8/2019 15:44,Ativo
12,Claro,'5518991921848,/ 355126072749230,4.3,0,20,16/4/2019,10.35.213.198,'89550534120023663130,195.311,0.47,5/8/2019 05:30,Ativo
13,Claro,'5518991909494,/ 889300055913050,4.3,0,20,27/3/2019,10.33.60.197,'89550534120021302798,1.850.206,1.5,5/8/2019 17:24,Ativo
14,Claro,'5518991905803,/ 864893032691550,4.3,0,20,19/4/2019,10.35.169.82,'89550534120023663965,185.666,1.42,5/8/2019 14:49,Ativo
15,Claro,'5518991879147,/ 864893031715460,4.3,0,20,22/3/2019,10.33.60.178,'89550534120021302616,1.786.161,2.13,5/8/2019 14:47,Ativo
16,Claro,'5518991874377,/ 889300055917850,4.3,0,20,26/3/2019,10.33.60.198,'89550534120021302806,1.955.919,0.44,5/8/2019 21:25,Ativo
17,Claro,'5518991873123,/ 864893032689300,4.3,0,20,23/4/2019,10.35.119.202,'89550534120023663858,1.863.575,1.36,5/8/2019 14:04,Ativo
18,Claro,'5518991872632,/ 864893032689700,4.3,0,20,23/4/2019,10.35.243.144,'89550534120023663825,186.939,1.29,5/8/2019 14:49,Ativo
19,Claro,'5518991868062,/ 8648930313270478,4.3,0,20,7/4/2019,10.33.50.31,'89550534120021345821,1.831.973,1.67,5/8/2019 20:52,Ativo
20,Claro,'5518991866735,/ 864893031326950,4.3,0,20,27/3/2019,10.33.60.147,'89550534120021302897,1.833.312,1.66,5/8/2019 14:05,Ativo
21,Claro,'5518991866015,/ 864893033454430,4.3,0,20,19/4/2019,10.35.9.239,'89550534120023663510,1.873.851,1.25,5/8/2019 14:49,Ativo
22,Claro,'5518991865710,/ 864893031327350,4.3,0,20,27/3/2019,10.33.60.182,'89550534120021302665,1.857.209,1.42,5/8/2019 21:17,Ativo
23,Claro,'5518991855781,/ 864893031335020,4.3,0,20,27/3/2019,10.33.63.146,'89550534120021302137,1.819.456,1.8,5/8/2019 14:05,Ativo
24,Claro,'5518991854713,/ 864893031327010,4.3,0,20,27/3/2019,10.33.63.102,'89550534120021302293,1.960.109,0.4,3/8/2019 08:44,Ativo
25,Claro,'5518991851528,/ 864893031326020,4.3,0,20,27/3/2019,10.33.60.155,'89550534120021302988,1.720.518,2.78,5/8/2019 14:05,Ativo
26,Claro,'5518991849570,/ 864893031717640,4.3,0,20,19/3/2019,10.33.60.142,'89550534120021302848,1.636.812,3.63,5/8/2019 20:52,Ativo
27,Claro,'5518991843511,/ 864893030943670,4.3,0,20,7/4/2019,10.33.59.120,'89550534120021345813,1.905.186,0.94,5/8/2019 19:54,Ativo
28,Claro,'5518991842952,/ 864893031335250,4.3,0,20,27/3/2019,10.33.60.156,'89550534120021302996,1.823.784,1.75,5/8/2019 14:04,Ativo
29,Claro,'5518991840392,/ 864180034435320,4.3,0,20,6/4/2019,10.33.59.203,'89550534120021345391,1.989.189,0.11,4/8/2019 20:00,Ativo
